home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Italy,France,3.0,1.0,Italy,1938-01-01,quarter_final,Paris,,1938-FRANCE
Brazil,Czech Republic,1.0,1.0,draw,1938-01-01,quarter_final,Bordeaux,,1938-FRANCE
Hungary,Switzerland,2.0,0.0,Hungary,1938-01-01,quarter_final,Lille,,1938-FRANCE
Sweden,Cuba,8.0,0.0,Sweden,1938-01-01,quarter_final,Antibes,,1938-FRANCE
Brazil,Czech Republic,2.0,1.0,Brazil,1938-01-01,quarter_final,Bordeaux,,1938-FRANCE
Italy,Brazil,2.0,1.0,Italy,1938-01-01,semi_final,Marseille,,1938-FRANCE
Hungary,Sweden,5.0,1.0,Hungary,1938-01-01,semi_final,Paris,,1938-FRANCE
Brazil,Sweden,4.0,2.0,Brazil,1938-01-01,third_place,Bordeaux,,1938-FRANCE
Italy,Hungary,4.0,2.0,Italy,1938-01-01,final,Paris,,1938-FRANCE
Sweden,Ireland,3.0,1.0,Sweden,1949-01-01,qualification,Stockholm,,1950-BRAZIL
Switzerland,Luxembourg,5.0,2.0,Switzerland,1949-01-01,qualification,Zurich,,1950-BRAZIL
Serbia,Israel,6.0,0.0,Serbia,1949-01-01,qualification,Belgrade,,1950-BRAZIL
United States,Mexico,0.0,6.0,Mexico,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
Ireland,Finland,3.0,0.0,Ireland,1949-01-01,qualification,Dublin,,1950-BRAZIL
Mexico,Cuba,2.0,0.0,Mexico,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
Cuba,United States,1.0,1.0,draw,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
Israel,Serbia,2.0,5.0,Serbia,1949-01-01,qualification,Tel Aviv,,1950-BRAZIL
Luxembourg,Switzerland,2.0,3.0,Switzerland,1949-01-01,qualification,Luxembourg,,1950-BRAZIL
Mexico,United States,6.0,2.0,Mexico,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
United States,Cuba,5.0,2.0,United States,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
Cuba,Mexico,0.0,3.0,Mexico,1949-01-01,qualification,Mexico DF,,1950-BRAZIL
Northern Ireland,Scotland,2.0,8.0,Scotland,1949-01-01,qualification,Belfast,,1950-BRAZIL
Sweden,Finland,8.0,1.0,Sweden,1949-01-01,qualification,Malmo,,1950-BRAZIL
